[OK] sig_x=8.8104e-03  sig_y=8.7945e-03  alpha_x=-6.3484e+02  alpha_y=-6.2602e+02  X=[1.06 0.177 0.852 0.197]
[OK] sig_x=6.0518e-03  sig_y=5.9931e-03  alpha_x=9.1078e+01  alpha_y=8.9756e+01  X=[0.671 0.709 0.115 0]
[OK] sig_x=2.4364e-02  sig_y=2.4249e-02  alpha_x=-3.5549e+03  alpha_y=-3.4918e+03  X=[1.4 0.728 1.29 0]
[OK] sig_x=1.9849e-02  sig_y=1.9935e-02  alpha_x=-9.4769e+02  alpha_y=-9.4693e+02  X=[1.34 0.36 0.04 0.0753]
[OK] sig_x=6.3066e-03  sig_y=6.2910e-03  alpha_x=2.5728e+02  alpha_y=2.5566e+02  X=[1.4 0.698 0.718 0.482]
[OK] sig_x=7.1530e-03  sig_y=7.1455e-03  alpha_x=-1.6137e+02  alpha_y=-1.5844e+02  X=[1.16 0.533 0.744 0.38]
[OK] sig_x=1.9196e-03  sig_y=1.8940e-03  alpha_x=4.0861e+01  alpha_y=3.9852e+01  X=[1.4 0.475 0.881 0.277]
[OK] sig_x=7.9707e-03  sig_y=7.9814e-03  alpha_x=-1.0263e+02  alpha_y=-1.0082e+02  X=[1.08 0.702 0.242 0.663]

--- Optimisation Complete ---
Pareto front size: 7
sig_x=3.1923e-03  sig_y=3.1506e-03  alpha_x=-1.5888e+01  alpha_y=-1.4878e+01  X=[1.31 0.0875 0.962 0.262]
sig_x=8.8785e-03  sig_y=8.8374e-03  alpha_x=-2.8000e+01  alpha_y=-2.5629e+01  X=[0.481 1.01 1.01 0.569]
sig_x=1.4206e-03  sig_y=1.4088e-03  alpha_x=-5.0973e+00  alpha_y=-6.4512e+00  X=[1.4 0.66 0.883 0.353]
sig_x=7.3723e-03  sig_y=7.3949e-03  alpha_x=3.2637e+01  alpha_y=3.3690e+01  X=[1.3 0.224 0.244 0.666]
sig_x=5.7645e-03  sig_y=5.7702e-03  alpha_x=2.6403e+01  alpha_y=2.7504e+01  X=[1.21 0.511 0.321 0.746]
sig_x=8.8280e-03  sig_y=8.8296e-03  alpha_x=2.7616e+01  alpha_y=2.8774e+01  X=[1.22 0.657 0.504 0.592]
sig_x=7.5582e-03  sig_y=7.5223e-03  alpha_x=1.1916e+02  alpha_y=1.1919e+02  X=[0.246 1.03 0.93 0.732]
