[OK] sig_x=1.6698e-03  sig_y=1.6821e-03  alpha_x=-1.7633e+00  alpha_y=-1.7944e+00  X=[1.4 1.19 0.0889 0.965]
[OK] sig_x=1.9231e-02  sig_y=1.9236e-02  alpha_x=1.0115e+00  alpha_y=1.0388e+00  X=[1.4 0.749 0.28 0.531]
[OK] sig_x=2.8976e-02  sig_y=2.8887e-02  alpha_x=-7.7727e+01  alpha_y=-7.7114e+01  X=[0.229 0.527 1.06 0.517]
[OK] sig_x=1.7721e-02  sig_y=1.7699e-02  alpha_x=7.3243e+00  alpha_y=7.3748e+00  X=[1.4 1.05 0.32 0.631]
[OK] sig_x=2.8840e-02  sig_y=2.8672e-02  alpha_x=-8.0945e+01  alpha_y=-7.9723e+01  X=[0 0 1.06 0]
[OK] sig_x=6.5598e-03  sig_y=6.5296e-03  alpha_x=4.1144e+00  alpha_y=4.1247e+00  X=[1.4 1.23 0.773 0.397]
[OK] sig_x=1.6972e-02  sig_y=1.6943e-02  alpha_x=1.6267e+00  alpha_y=1.6532e+00  X=[0.599 1.13 0.734 0.472]
[OK] sig_x=6.4691e-03  sig_y=6.4789e-03  alpha_x=1.4747e+00  alpha_y=1.5077e+00  X=[1.34 0 0.473 0.655]
[OK] sig_x=2.5011e-02  sig_y=2.4997e-02  alpha_x=-3.5035e+01  alpha_y=-3.5231e+01  X=[1.3 1.03 1.27 1.4]
[OK] sig_x=1.7454e-02  sig_y=1.7423e-02  alpha_x=-1.9429e+00  alpha_y=-1.9271e+00  X=[0.439 1.1 0.811 0.331]
[OK] sig_x=7.9154e-03  sig_y=7.9232e-03  alpha_x=3.9628e+00  alpha_y=4.0147e+00  X=[1.4 0.216 0.393 0.7]
[OK] sig_x=4.0047e-03  sig_y=3.9960e-03  alpha_x=3.4537e+00  alpha_y=3.4807e+00  X=[1.4 0.481 0.341 0.838]
[OK] sig_x=1.7058e-02  sig_y=1.7045e-02  alpha_x=1.5351e-02  alpha_y=3.6464e-02  X=[1.4 0.892 0.61 0.259]
[OK] sig_x=5.0164e-03  sig_y=4.9995e-03  alpha_x=1.4547e+00  alpha_y=1.4753e+00  X=[1.4 0.323 0.826 0.102]
[OK] sig_x=1.4855e-02  sig_y=1.4800e-02  alpha_x=9.4473e+00  alpha_y=9.4637e+00  X=[0.579 0.497 0.265 0.5]
[OK] sig_x=8.4466e-03  sig_y=8.4279e-03  alpha_x=-6.3497e+00  alpha_y=-6.3430e+00  X=[1.11 0.447 0.859 0.00439]
[OK] sig_x=1.8886e-03  sig_y=1.9032e-03  alpha_x=-1.2096e+00  alpha_y=-1.2384e+00  X=[0.38 1.25 0.829 0.76]
[OK] sig_x=1.5299e-02  sig_y=1.5275e-02  alpha_x=2.1328e+00  alpha_y=2.1613e+00  X=[1.13 1.06 0.662 0.417]
[OK] sig_x=1.2831e-02  sig_y=1.2890e-02  alpha_x=-2.3440e+01  alpha_y=-2.3771e+01  X=[1.4 0 0.218 1.22]
[OK] sig_x=2.8244e-02  sig_y=2.8237e-02  alpha_x=-6.2465e+01  alpha_y=-6.2811e+01  X=[1.02 1.19 0.662 1.31]
[OK] sig_x=2.0160e-02  sig_y=2.0146e-02  alpha_x=7.6603e-01  alpha_y=7.9098e-01  X=[0.17 1.08 0.0763 0.721]
[OK] sig_x=4.9120e-03  sig_y=4.9015e-03  alpha_x=1.7788e+00  alpha_y=1.8034e+00  X=[1.4 0.0293 0.75 0.439]
[OK] sig_x=1.4592e-02  sig_y=1.4541e-02  alpha_x=8.5202e+00  alpha_y=8.5397e+00  X=[0 0.636 0.309 0.43]
[OK] sig_x=1.5850e-02  sig_y=1.5874e-02  alpha_x=-2.3036e+01  alpha_y=-2.3231e+01  X=[1.4 0.947 0.999 0.819]
[OK] sig_x=1.6196e-02  sig_y=1.6176e-02  alpha_x=6.4798e+00  alpha_y=6.5267e+00  X=[0.826 1.1 0.254 0.753]
[OK] sig_x=1.5879e-02  sig_y=1.5786e-02  alpha_x=1.0270e+01  alpha_y=1.0293e+01  X=[0.101 1.33 0.214 0.867]
[OK] sig_x=1.7966e-02  sig_y=1.7920e-02  alpha_x=9.4997e+00  alpha_y=9.5357e+00  X=[1.4 1.4 0.46 0.609]
[OK] sig_x=2.5354e-02  sig_y=2.5359e-02  alpha_x=-5.0947e+01  alpha_y=-5.0997e+01  X=[0.406 0.631 0.783 1.05]
[OK] sig_x=6.0567e-03  sig_y=6.0202e-03  alpha_x=5.1313e+00  alpha_y=5.1256e+00  X=[0.612 0.569 0.371 0.541]
[OK] sig_x=1.1236e-02  sig_y=1.1207e-02  alpha_x=3.2122e+00  alpha_y=3.2379e+00  X=[0 1.11 0.775 0.662]
[OK] sig_x=7.1545e-03  sig_y=7.1398e-03  alpha_x=5.6258e+00  alpha_y=5.6592e+00  X=[1.4 0.873 0.472 0.738]
[OK] sig_x=1.3095e-02  sig_y=1.3029e-02  alpha_x=9.4833e+00  alpha_y=9.5545e+00  X=[0.312 1.4 0.0149 0.892]
[OK] sig_x=1.7990e-02  sig_y=1.7928e-02  alpha_x=4.8092e+00  alpha_y=4.8299e+00  X=[0 0.68 0.076 0.351]
[OK] sig_x=2.7047e-02  sig_y=2.7167e-02  alpha_x=1.2532e+01  alpha_y=1.2600e+01  X=[0.239 1.4 0.499 0.682]
[OK] sig_x=2.3007e-02  sig_y=2.3004e-02  alpha_x=1.3577e+01  alpha_y=1.3630e+01  X=[0.697 1.4 0.198 0.799]
[OK] sig_x=2.2185e-02  sig_y=2.2140e-02  alpha_x=9.3515e+00  alpha_y=9.3959e+00  X=[0.954 1.4 0.649 0.516]
[OK] sig_x=5.7432e-03  sig_y=5.7483e-03  alpha_x=-7.8934e+00  alpha_y=-7.9404e+00  X=[0.451 0.285 0.545 0.752]
[OK] sig_x=2.6403e-03  sig_y=2.6483e-03  alpha_x=-3.7226e+00  alpha_y=-3.7529e+00  X=[0.734 0.252 0.172 0.876]
[OK] sig_x=1.5236e-02  sig_y=1.5195e-02  alpha_x=1.1466e+01  alpha_y=1.1502e+01  X=[1.4 1.4 0 0.781]
[OK] sig_x=1.0337e-02  sig_y=1.0309e-02  alpha_x=3.3557e+00  alpha_y=3.3808e+00  X=[1.4 1.04 0.773 0]
[OK] sig_x=3.1660e-03  sig_y=3.1378e-03  alpha_x=1.6377e+00  alpha_y=1.6368e+00  X=[1.4 0.955 0.871 0]
[OK] sig_x=1.5448e-03  sig_y=1.5231e-03  alpha_x=7.5578e-01  alpha_y=7.4244e-01  X=[0 1.28 0 0.99]
[OK] sig_x=1.7037e-02  sig_y=1.7062e-02  alpha_x=9.0755e-01  alpha_y=9.3531e-01  X=[1.4 0.473 0 0.574]
[OK] sig_x=6.5011e-03  sig_y=6.5366e-03  alpha_x=-4.4175e+00  alpha_y=-4.4815e+00  X=[0 1.03 1.4 1.1]
[OK] sig_x=2.3154e-02  sig_y=2.3089e-02  alpha_x=-2.7602e+01  alpha_y=-2.7609e+01  X=[0 0.93 1.16 0]
