[INFEASIBLE] sig_x=2.3937e-02  sig_y=2.3892e-02  alpha_x=-1.8752e+01  alpha_y=-1.8914e+01  X=[1.4 0.449 0 0.242]
[OK] sig_x=2.7211e-02  sig_y=2.7481e-02  alpha_x=6.7367e+00  alpha_y=6.7525e+00  X=[0 0.536 0.13 0.401]
[INFEASIBLE] sig_x=1.4517e-02  sig_y=1.4473e-02  alpha_x=1.3755e+01  alpha_y=1.3786e+01  X=[0 0.191 0.188 0.742]
[OK] sig_x=6.7187e-03  sig_y=6.7690e-03  alpha_x=-5.0304e+00  alpha_y=-5.1404e+00  X=[1.31 0.046 1.22 0.987]
[OK] sig_x=8.4160e-03  sig_y=8.4255e-03  alpha_x=9.0367e-01  alpha_y=9.3109e-01  X=[1.37 0.0487 0.627 0.429]

--- Optimisation Complete ---
Pareto front size: 7
sig_x=8.8785e-03  sig_y=8.8374e-03  alpha_x=-3.1344e-01  alpha_y=-2.9112e-01  X=[0.481 1.01 1.01 0.569]
sig_x=9.9396e-03  sig_y=9.9484e-03  alpha_x=1.6493e-03  alpha_y=2.1522e-02  X=[1.4 0.000292 0.701 0.00349]
sig_x=6.7423e-03  sig_y=6.7100e-03  alpha_x=4.6708e+00  alpha_y=4.6772e+00  X=[0.497 1.4 0.689 0.736]
sig_x=7.6305e-03  sig_y=7.6837e-03  alpha_x=-6.9904e+00  alpha_y=-7.1232e+00  X=[1.4 0 1.08 0]
sig_x=1.0037e-02  sig_y=9.9774e-03  alpha_x=-2.8336e-02  alpha_y=-6.9225e-03  X=[0.279 0.873 1.4 1.27]
sig_x=7.2533e-03  sig_y=7.2554e-03  alpha_x=-4.7536e+00  alpha_y=-4.8057e+00  X=[1.28 0.14 1.35 0.00099]
sig_x=8.4160e-03  sig_y=8.4255e-03  alpha_x=9.0367e-01  alpha_y=9.3109e-01  X=[1.37 0.0487 0.627 0.429]
