[OK] sig_x=1.7128e-02  sig_y=1.7066e-02  alpha_x=-1.1544e+01  alpha_y=-1.1516e+01  X=[0 0.88 1.16 1]

--- Optimisation Complete ---
Pareto front size: 9
sig_x=2.9032e-02  sig_y=2.8781e-02  alpha_x=-7.5009e+01  alpha_y=-7.5154e+01  X=[0.525 0.525 0.875 1.22]
sig_x=2.9012e-02  sig_y=2.8939e-02  alpha_x=-6.4129e+01  alpha_y=-6.3724e+01  X=[0.875 0.175 1.22 0.875]
sig_x=2.8871e-02  sig_y=2.8850e-02  alpha_x=-5.1429e+01  alpha_y=-5.0988e+01  X=[0 1.4 0.514 0]
sig_x=2.7138e-02  sig_y=2.7085e-02  alpha_x=1.4251e+01  alpha_y=1.4270e+01  X=[0 1.4 0.239 0.76]
sig_x=2.8868e-02  sig_y=2.8657e-02  alpha_x=1.2333e+01  alpha_y=1.2347e+01  X=[0.449 1.4 0.434 0.659]
sig_x=2.6824e-02  sig_y=2.6846e-02  alpha_x=1.4322e+01  alpha_y=1.4361e+01  X=[0.701 1.4 0.152 0.767]
sig_x=2.6883e-02  sig_y=2.7087e-02  alpha_x=1.3130e+01  alpha_y=1.3186e+01  X=[0 0.371 0.403 0.382]
sig_x=2.8744e-02  sig_y=2.8776e-02  alpha_x=-3.7105e+01  alpha_y=-3.6409e+01  X=[0 1.4 1.4 1.4]
sig_x=2.8582e-02  sig_y=2.8353e-02  alpha_x=1.3081e+01  alpha_y=1.3084e+01  X=[0 1.34 0 0.754]
